SiteID,1686275,Site Timezone,-6,Data Timezone,-6,Longitude,-87.7298278809,Latitude,43.8935852051
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2009,1,15,7,30,N/A,293.79,10.91,-24.84,99690,N/A
2009,1,15,8,30,N/A,298.69,9.58,-24.650000000000002,99720,N/A
2009,1,15,9,30,N/A,296.85,8.71,-23.78,99750,N/A
2009,1,15,10,30,N/A,291.63,8.15,-22.82,99770,N/A
2009,1,15,11,30,N/A,290.29,7.95,-21.82,99770,N/A
2009,1,15,12,30,N/A,288.54,8.06,-21.13,99760,N/A
2009,1,15,13,30,N/A,291.44,9.23,-20.04,99730,N/A
2009,1,15,14,30,N/A,289.23,10.39,-19.45,99730,N/A
2009,1,15,15,30,N/A,287.05,10.55,-19.34,99730,N/A
2009,1,15,16,30,N/A,287.55,12.07,-19.85,99760,N/A
2009,1,15,17,30,N/A,288.38,13.620000000000001,-19.88,99790,N/A
2009,1,15,18,30,N/A,291.89,13.280000000000001,-19.900000000000002,99820,N/A
2009,1,15,19,30,N/A,290.81,13.530000000000001,-19.91,99880,N/A
2009,1,15,20,30,N/A,293.87,12.13,-20.48,99930,N/A
2009,1,15,21,30,N/A,292.1,9.77,-21.09,99970,N/A
2009,1,15,22,30,N/A,292.82,10.17,-21.3,99970,N/A
